outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,iq_compliance,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,23,24.6375634517766,23,8.49207514428165,98.5000000000001,1.5,0,0.8,0.2,9,0,10460,cluster,0.0192,5,4.971,5,1.40647040494992,4,4.552,4,3.26608266888638,True,7,10.9406438631791,8,8.23580407736439,99.4000000000001,0.6,0
True,21,23.1096579476861,21,8.24481101882384,99.4000000000001,0.6,0,0.8,0.2,10,0,10460,cluster,0.0192,5,4.692,5,1.34206408192754,5,4.707,4,3.23375184576677,True,6,9.49548645937814,7,7.25348667164657,99.7000000000001,0.3,0
True,20,22.137688442211,20,7.44035828035974,99.5000000000001,0.5,0,0.8,0.2,11,0,10460,cluster,0.0192,4,4.447,4,1.24305711855892,4,5.03,4,3.6522732646942,True,6,8.47447447447447,6,6.61746854840189,99.9000000000001,0.1,0
True,20,21.0931863727455,19,7.5228665220614,99.8000000000001,0.2,0,0.8,0.2,12,0,10460,cluster,0.0192,4,4.295,4,1.13665078190269,5,5.109,4,3.68308552710903,True,5,7.41341341341341,6,5.49676948170426,99.9000000000001,0.1,0
True,18,19.5787362086259,18,6.84453154304618,99.7000000000001,0.3,0,0.8,0.2,13,0,10460,cluster,0.0192,4,4.123,4,1.0601278224818,5,5.655,5,4.00074680528523,True,5,6.60721442885772,5,5.06886721920036,99.8000000000001,0.2,0
True,17,18.586,17,6.05529553366308,100,0,0,0.8,0.2,14,0,10460,cluster,0.0192,4,4.007,4,1.08302862381379,5,5.887,5,3.89232976506359,True,5,5.844,5,3.81885637331387,100,0,0
True,16,17.358,16,5.93867291572789,100,0,0,0.8,0.2,15,0,10460,cluster,0.0192,4,3.846,4,0.985029948783284,6,6.144,5,4.17483700280622,True,5,5.38276553106212,4,3.70286456396834,99.8000000000001,0.2,0
True,15,16.468,15,5.27664438824524,100,0,0,0.8,0.2,16,0,10460,cluster,0.0192,4,3.808,4,0.977310595460829,6,6.231,6,4.03381196884535,True,5,4.88565697091274,4,2.90383568400886,99.7000000000001,0.3,0
True,15,16.011,15,5.19200144452984,100,0,0,0.8,0.2,17,0,10460,cluster,0.0192,4,3.676,4,0.934357533281559,7,6.482,6,4.34921556145473,True,5,4.73319959879639,4,2.60834074030454,99.7000000000001,0.3,0
True,14,15.2562562562563,14,4.90677846180889,99.9000000000001,0.1,0,0.8,0.2,18,0,10460,cluster,0.0192,3,3.573,3,0.913603305598223,4,6.415,6,4.54497249716651,True,5,4.47895791583166,4,2.41966271441611,99.8000000000001,0.2,0
