outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,20,21.607250755287,20,6.07214330071457,99.3000000000001,0.7,0,7,6.692,6,2.31022423154117,5,6.04,5,4.61870111611479,0.5,6,0,8360,cluster,0.028231366,True,8,9.39798994974874,8,5.80628631603873,99.5000000000001,0.5,0
True,19,20.310621242485,19,5.6351768251343,99.8000000000001,0.2,0,6,6.08,6,1.90042100598788,5,6.461,5,4.76827841049576,0.5,7,0,8360,cluster,0.028231366,True,6,8.26706827309237,7,5.21976470866386,99.6000000000001,0.3,0.1
True,18,18.964964964965,18,4.94653838717437,99.9000000000001,0.1,0,6,5.626,5,1.68823102684437,6,6.906,6,4.95874621250171,0.5,8,0,8360,cluster,0.028231366,True,6,7.06030150753769,6,4.5226822998609,99.5000000000001,0.4,0.1
True,17,18.179,17,4.50143965859812,100,0,0,5,5.328,5,1.54350769353444,6,7.252,7,4.87714014561813,0.5,9,0,8360,cluster,0.028231366,True,5,6.26653306613226,5,3.83725830600741,99.8000000000001,0.2,0
True,16,17.308,16,4.31568488191619,100,0,0,5,4.996,5,1.42687911190822,7,7.663,7,5.1831873398518,0.5,10,0,8360,cluster,0.028231366,True,5,5.75276381909548,5,3.39482016005163,99.5000000000001,0.5,0
True,16,16.506,16,3.8044663226266,100,0,0,5,4.799,5,1.3261217892788,8,7.962,7,4.98001566262597,0.5,11,0,8360,cluster,0.028231366,True,5,5.09255533199195,4,2.58097920007973,99.4000000000001,0.5,0.1
True,15,15.757,15,3.45513400608428,100,0,0,4,4.568,4,1.25513983284732,7,8.273,7,5.42646026429753,0.5,12,0,8360,cluster,0.028231366,True,5,4.62825651302605,4,2.26259183458983,99.8000000000001,0.2,0
True,14,14.975,15,3.24597828088852,100,0,0,4,4.499,4,1.1755845354546,7,9.013,8,5.17888318076398,0.5,13,0,8360,cluster,0.028231366,True,4,4.27738693467337,4,1.89827777169801,99.5000000000001,0.4,0.1
True,14,14.647,14,3.13789595111119,100,0,0,4,4.298,4,1.11229312683303,8,9.026,8,5.53058080132638,0.5,14,0,8360,cluster,0.028231366,True,4,4.04904904904905,4,1.865496361098,99.9000000000001,0.1,0
True,13,13.974,14,2.9218699491935,100,0,0,4,4.197,4,1.08544507000585,8,9.573,8,5.69654904306107,0.5,15,0,8360,cluster,0.028231366,True,4,3.77409638554217,3,1.53740892137162,99.6000000000001,0.4,0
True,13,13.372,13,2.75637733265966,100,0,0,4,4.052,4,1.04656390153683,9,9.911,9,5.78265328374441,0.5,16,0,8360,cluster,0.028231366,True,4,3.61785356068205,3,1.37516378403397,99.7000000000001,0.3,0
True,12,12.829,12,2.57483183916931,100,0,0,4,3.958,4,1.00211576177605,10,10.441,10,5.95369792649913,0.5,17,0,8360,cluster,0.028231366,True,4,3.4251256281407,3,1.19680137321576,99.5000000000001,0.5,0
True,12,12.499,12,2.50519440363418,100,0,0,4,3.877,4,0.953871584648584,11,10.827,10,6.24107931370849,0.5,18,0,8360,cluster,0.028231366,True,4,3.36153071500504,3,1.1491099376714,99.3000000000001,0.7,0
True,12,12.182,12,2.3513562044063,100,0,0,4,3.771,4,0.914635993168867,11,10.68,10,6.28264275603826,0.5,19,0,8360,cluster,0.028231366,True,4,3.26592517694641,3,1.04066055792857,98.9000000000001,1.1,0
True,11,11.746,11,2.37181027909064,100,0,0,4,3.684,4,0.887774746205365,12,11.109,10,6.41662832023174,0.5,20,0,8360,cluster,0.028231366,True,4,3.16262626262626,3,0.94645386624306,99.0000000000001,1,0
True,44,32.8711340206186,32,9.26039260628772,58.2,41.8,0,31,18.0620031796502,17,7.93881429798301,5,5.53100158982512,4,5.18507174001702,0.6,1,0,8360,cluster,0.028231366,True,32,21.7640264026403,20,10.5526540680765,60.6000000000001,39.4,0
True,31,30.093220338983,29,8.92732440916171,82.6000000000001,17.4,0,16,14.3655793025872,12,7.36102485946209,4,5.56580427446569,4,5.3798775656012,0.6,2,0,8360,cluster,0.028231366,True,19,18.8905704307334,16,10.4967267818172,85.9000000000001,14.1,0
True,26,27.6114101184069,26,8.54927583993164,92.9000000000001,7.10000000000001,0,12,11.0278063851699,10,5.3806926100218,4,5.25849639546859,4,4.91410435705911,0.6,3,0,8360,cluster,0.028231366,True,14,15.823467230444,13,9.41825400409824,94.6000000000001,5.4,0
True,24,25.468237704918,24,7.75872165040185,97.6000000000001,2.4,0,10,8.57931726907631,8,3.82823136149994,4,5.06224899598394,4,4.41680577513547,0.6,4,0,8360,cluster,0.028231366,True,12,13.5401831129196,12,8.06434971239872,98.3000000000001,1.7,0
True,22,23.2117527862209,22,6.60498903171672,98.7000000000001,1.3,0,8,7.369,7,2.77287558321682,5,5.568,4,4.62832323849577,0.6,5,0,8360,cluster,0.028231366,True,9,11.1270161290323,10,6.79272588637888,99.2000000000001,0.8,0
True,20,21.5185929648241,21,5.93451754759935,99.5000000000001,0.5,0,7,6.681,6,2.28368977753109,5,6.066,5,4.62986436086415,0.6,6,0,8360,cluster,0.028231366,True,8,9.35341365461848,8,5.74732331566211,99.6000000000001,0.4,0
True,19,20.2162162162162,19,5.41022807884866,99.9000000000001,0.1,0,6,6.08,6,1.90567573317183,5,6.481,5,4.78389370701315,0.6,7,0,8360,cluster,0.028231366,True,6,8.2617853560682,7,5.16514376881455,99.7000000000001,0.2,0.1
True,18,18.9209209209209,18,4.94906516412458,99.9000000000001,0.1,0,6,5.626,5,1.68823102684437,6,6.913,6,4.97387484764142,0.6,8,0,8360,cluster,0.028231366,True,6,6.98088531187123,6,4.22537091593018,99.4000000000001,0.5,0.1
True,17,18.162,17,4.47925842076565,100,0,0,5,5.327,5,1.54274787311472,6,7.274,7,4.88947072800319,0.6,9,0,8360,cluster,0.028231366,True,5,6.25350701402806,5,3.77377071591313,99.8000000000001,0.2,0
True,16,17.291,16,4.34882961266592,100,0,0,5,4.992,5,1.42616128120209,7,7.668,7,5.17704317154107,0.6,10,0,8360,cluster,0.028231366,True,5,5.75879396984925,5,3.48379025278371,99.5000000000001,0.5,0
True,16,16.524,16,3.80492102414754,100,0,0,5,4.799,5,1.3261217892788,8,7.967,7,4.97372204691818,0.6,11,0,8360,cluster,0.028231366,True,5,5.07746478873239,4,2.58400808784646,99.4000000000001,0.5,0.1
True,15,15.697,15,3.52011235616138,100,0,0,4,4.569,4,1.25588176195054,7,8.292,7,5.44322845377631,0.6,12,0,8360,cluster,0.028231366,True,5,4.62925851703407,4,2.28149865736312,99.8000000000001,0.2,0
True,14,14.943,15,3.13811264934833,100,0,0,4,4.499,4,1.1755845354546,7,9.026,8,5.1812473401682,0.6,13,0,8360,cluster,0.028231366,True,4,4.2643216080402,4,1.87055561495203,99.5000000000001,0.4,0.1
True,14,14.577,14,3.02854271886662,100,0,0,4,4.298,4,1.11229312683303,8,9.037,8,5.53819745043457,0.6,14,0,8360,cluster,0.028231366,True,4,4.03503503503504,4,1.82513146886805,99.9000000000001,0.1,0
True,13,14.008,14,2.98997257512506,100,0,0,4,4.197,4,1.08544507000585,8,9.581,8,5.69872257615687,0.6,15,0,8360,cluster,0.028231366,True,4,3.77409638554217,3,1.53936684643349,99.6000000000001,0.4,0
True,13,13.343,13,2.77296790461051,100,0,0,4,4.051,4,1.04613526850021,9,9.924,9,5.78067677698728,0.6,16,0,8360,cluster,0.028231366,True,4,3.60481444332999,3,1.35639829684761,99.7000000000001,0.3,0
True,12,12.797,13,2.5408248660622,100,0,0,4,3.958,4,1.00211576177605,10,10.44,10,5.92962056121637,0.6,17,0,8360,cluster,0.028231366,True,4,3.42211055276382,3,1.18818030196984,99.5000000000001,0.5,0
True,12,12.525,12,2.49105901174581,100,0,0,4,3.877,4,0.953871584648584,11,10.832,10,6.24530031303539,0.6,18,0,8360,cluster,0.028231366,True,4,3.36153071500504,3,1.1491099376714,99.3000000000001,0.7,0
True,12,12.186,12,2.39779148384508,100,0,0,4,3.771,4,0.914635993168867,11,10.682,10,6.28019713066397,0.6,19,0,8360,cluster,0.028231366,True,4,3.26491405460061,3,1.03653800659938,98.9000000000001,1.1,0
True,11,11.718,11,2.34146876981095,100,0,0,4,3.684,4,0.887774746205365,12,11.119,11,6.41769732848161,0.6,20,0,8360,cluster,0.028231366,True,4,3.16161616161616,3,0.941812895131391,99.0000000000001,1,0
True,43,32.8991596638656,31,9.30256579585827,59.5,40.5,0,29,18.1081504702194,17,7.82203478902271,4,5.52507836990596,4,5.08749446343564,0.7,1,0,8360,cluster,0.028231366,True,31,21.7358184764992,20,10.3990040050805,61.7,38.3,0
True,31,29.8335358444714,28,8.83026074087016,82.3000000000001,17.7,0,16,14.3626126126126,12,7.44841408982708,4,5.52364864864865,4,5.29293930696195,0.7,2,0,8360,cluster,0.028231366,True,19,18.8704784130688,16,10.6881445081297,85.7000000000001,14.3,0
True,26,27.6315228966986,26,8.61163656120341,93.9000000000001,6.10000000000001,0,12,11.0904419321686,10,5.53453523590379,4,5.36793422404933,4,5.03454454695382,0.7,3,0,8360,cluster,0.028231366,True,14,15.7373949579832,13,9.31658122117394,95.2000000000001,4.8,0
True,24,25.2860061287028,24,7.58350976200884,97.9000000000001,2.1,0,10,8.61283851554664,8,3.98147108529122,5,5.0802407221665,4,4.46355808684177,0.7,4,0,8360,cluster,0.028231366,True,11,13.5390070921986,12,8.25930123966478,98.7000000000001,1.3,0
True,22,23.1868686868687,22,6.81237949891977,99.0000000000001,1,0,8,7.397,7,2.90575136582606,5,5.569,4,4.62549878391509,0.7,5,0,8360,cluster,0.028231366,True,9,11.0734406438632,10,6.92149415378815,99.4000000000001,0.6,0
True,20,21.3798994974874,20,5.90956961675094,99.5000000000001,0.5,0,7,6.682,6,2.28579876629593,5,6.102,5,4.65183791635091,0.7,6,0,8360,cluster,0.028231366,True,8,9.32898696088265,8,5.86149842345239,99.7000000000001,0.3,0
True,19,20.108,19,5.38742387417214,100,0,0,6,6.076,6,1.89373282170427,5,6.512,5,4.84518895400375,0.7,7,0,8360,cluster,0.028231366,True,6,8.15947843530592,7,4.97653903340861,99.7000000000001,0.2,0.1
